Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.02,80.08,80.0,79.94,80.22,80.2,80.26,80.09,80.17,80.33
2,80.24,80.31,80.29,80.14,80.06,80.08,79.93,80.2,80.08,80.13
3,80.18,80.16,80.21,80.19,80.18,80.32,79.88,80.37,80.24,80.19
4,80.16,80.31,80.0,80.19,80.21,80.32,80.04,80.16,80.2,80.05
5,80.2,80.05,80.2,80.27,80.1,80.27,80.16,79.93,80.38,80.02
6,80.19,80.12,80.14,80.16,80.1,80.31,80.21,80.23,80.02,80.19
7,80.23,80.11,80.26,80.19,80.3,80.19,80.31,80.17,80.15,80.05
8,80.26,80.03,80.12,80.28,80.1,80.28,80.1,80.09,79.99,80.38
9,80.15,80.1,80.1,80.27,80.12,80.21,80.3,80.33,80.16,80.22
10,80.1,80.18,80.25,79.91,80.14,80.21,80.31,80.19,80.01,80.31
