Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,79.44,79.59,79.78,79.62,79.57,79.73,79.63,79.79,79.74,79.97
2,79.55,79.69,79.5,79.67,79.73,79.6,79.54,79.95,79.79,79.66
3,79.73,79.73,79.69,79.61,79.52,79.67,79.74,79.54,79.67,79.91
4,79.6,79.59,79.39,79.76,79.57,79.67,79.52,79.83,79.68,79.61
5,79.4,79.81,79.86,79.56,79.61,79.64,79.6,79.76,79.67,79.75
6,79.7,79.67,79.91,79.7,79.82,79.87,79.65,79.6,79.94,79.73
7,79.52,79.4,79.71,79.56,80.04,79.73,79.99,79.88,79.47,79.94
8,79.55,79.68,80.04,79.57,79.42,79.89,79.61,79.91,79.73,79.8
9,79.55,79.8,79.78,79.71,79.8,79.63,79.74,79.94,79.44,79.68
10,79.69,79.63,79.68,79.54,79.7,79.83,79.9,79.83,80.02,79.43
