Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,76.67,76.88,76.27,76.35,76.6,77.06,76.17,76.08,76.73,76.87
2,76.17,76.51,76.55,76.43,76.3,76.45,76.66,76.67,76.49,76.64
3,76.08,76.48,76.48,76.44,76.77,76.93,76.82,76.74,76.7,76.47
4,76.69,76.75,76.93,77.05,76.49,76.74,76.39,76.37,77.1,76.52
5,76.41,76.08,76.32,76.35,76.08,76.34,76.23,76.64,76.43,76.08
6,76.47,76.59,76.08,76.16,76.34,76.86,76.65,76.71,76.47,76.6
7,77.07,76.1,76.8,76.6,76.49,76.15,76.27,76.8,76.94,76.54
8,76.24,76.7,76.82,76.71,76.16,76.54,76.98,76.3,76.46,76.99
9,76.8,76.95,76.6,76.41,76.5,76.26,77.02,76.95,76.61,77.0
10,76.79,76.78,76.82,76.9,76.84,76.99,76.47,76.08,76.54,76.17
