Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.11,80.81,80.43,81.1,80.76,80.58,79.99,81.0,80.58,80.94
2,81.05,80.71,80.64,80.51,80.65,81.0,80.33,80.8,80.59,80.57
3,81.03,80.89,80.91,80.55,80.65,80.52,80.66,80.41,80.76,80.67
4,80.92,80.43,80.91,80.98,80.63,80.69,81.02,80.76,80.74,80.54
5,80.94,80.94,81.01,80.6,81.03,80.72,80.67,80.97,80.81,80.84
6,80.75,80.85,80.43,80.75,80.95,80.96,80.94,80.68,80.68,80.63
7,80.36,81.09,80.65,80.63,80.48,80.74,80.53,80.58,80.29,80.75
8,80.59,80.75,80.91,80.88,80.77,80.89,80.94,80.39,80.89,80.77
9,80.54,80.78,80.61,80.95,80.61,80.76,80.96,81.16,80.06,80.46
10,80.64,80.95,81.08,80.71,80.92,80.65,80.79,80.93,80.85,80.92
