Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,76.59,76.61,76.51,76.43,76.98,76.68,76.44,76.92,76.72,76.61
2,76.77,76.67,76.45,76.68,76.88,77.12,76.53,76.62,76.96,76.62
3,76.85,76.58,76.3,76.66,76.58,76.77,76.37,76.59,76.36,76.64
4,76.74,76.65,76.88,76.76,76.26,76.55,76.88,76.93,76.66,76.49
5,76.75,76.66,76.44,76.74,76.45,77.01,76.71,76.53,76.56,76.49
6,76.79,76.92,76.6,76.52,76.9,77.12,76.57,76.8,76.64,76.45
7,76.43,76.75,77.17,76.62,76.87,76.82,76.3,76.96,76.85,76.9
8,76.55,76.57,76.71,76.4,76.55,76.84,76.6,76.32,76.41,76.36
9,76.39,76.52,77.16,76.76,76.8,76.82,76.48,76.34,76.66,76.87
10,76.82,76.71,76.7,76.78,76.71,77.29,76.8,76.69,76.57,76.56
