Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.95,81.81,81.87,81.84,81.88,81.82,81.82,81.8,81.83,81.79
2,81.82,81.81,81.8,81.85,81.8,81.83,81.81,81.83,81.87,81.75
3,81.8,81.83,81.88,81.84,81.82,81.99,81.89,81.83,81.85,81.95
4,81.8,81.82,81.81,81.78,81.78,81.79,81.83,81.91,81.8,81.81
5,81.99,81.89,81.83,81.97,81.85,81.91,81.82,81.81,81.8,81.85
6,81.74,81.79,81.91,81.85,81.83,81.79,81.99,81.8,81.89,81.85
7,81.87,81.88,81.91,81.81,81.91,81.8,81.86,81.79,81.83,81.89
8,81.92,81.85,81.85,81.74,81.89,81.74,81.82,81.75,81.87,81.82
9,81.95,81.77,81.86,81.86,81.91,81.92,81.85,81.91,81.85,81.95
10,81.8,81.85,81.86,81.78,81.78,81.85,81.8,81.85,81.9,81.84
