Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.46,81.5,81.47,81.39,81.52,81.56,81.53,81.43,81.45,81.5
2,81.5,81.57,81.5,81.53,81.43,81.47,81.48,81.47,81.45,81.4
3,81.47,81.42,81.46,81.5,81.54,81.44,81.39,81.5,81.42,81.5
4,81.49,81.52,81.26,81.38,81.54,81.46,81.39,81.43,81.47,81.51
5,81.5,81.35,81.42,81.48,81.36,81.39,81.45,81.59,81.45,81.54
6,81.37,81.5,81.5,81.43,81.52,81.51,81.5,81.36,81.45,81.44
7,81.42,81.53,81.43,81.45,81.51,81.52,81.51,81.52,81.46,81.57
8,81.43,81.49,81.39,81.51,81.47,81.46,81.39,81.46,81.45,81.46
9,81.48,81.46,81.47,81.36,81.39,81.44,81.37,81.42,81.47,81.6
10,81.36,81.58,81.39,81.37,81.39,81.42,81.41,81.39,81.53,81.49
