Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,79.56,79.78,79.88,79.58,79.75,79.95,79.79,79.73,79.86,79.87
2,79.88,79.9,80.01,79.93,79.56,79.95,79.74,79.96,79.75,80.07
3,79.8,79.65,79.87,79.78,79.67,79.82,79.84,79.67,79.86,79.87
4,79.65,79.73,79.83,79.69,79.79,79.82,80.05,79.93,79.6,79.78
5,79.68,79.66,79.89,79.62,79.88,79.82,79.56,79.91,79.79,79.78
6,79.92,79.57,79.99,79.84,79.89,79.88,80.06,79.74,79.84,79.89
7,79.81,79.62,80.0,79.58,79.94,80.04,79.71,79.81,79.81,79.97
8,79.96,79.73,80.04,79.87,79.94,79.69,79.9,79.54,80.06,79.86
9,79.81,79.69,79.79,79.61,79.91,79.87,79.75,79.51,79.8,79.87
10,79.96,79.75,80.0,79.8,79.91,79.81,79.95,79.97,79.78,80.12
