Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,78.46,78.09,78.2,78.12,78.09,78.53,78.39,78.49,78.63,78.19
2,78.37,78.56,78.4,78.25,78.05,78.65,78.47,78.16,78.35,78.74
3,78.56,78.19,78.28,78.47,78.53,78.08,78.13,78.4,78.52,78.33
4,78.12,78.16,78.67,78.15,78.13,78.48,78.24,78.22,78.24,78.38
5,78.59,78.48,78.21,78.09,78.28,78.27,78.07,77.7,78.2,78.44
6,78.44,78.21,78.15,78.37,78.37,78.73,78.32,78.51,78.32,78.14
7,78.37,78.05,78.31,78.3,78.68,78.19,78.64,78.0,78.29,78.26
8,78.47,78.68,78.4,78.38,78.34,78.04,78.41,78.43,78.49,78.61
9,78.3,77.94,78.29,78.64,78.39,78.26,78.63,78.3,78.5,78.51
10,78.35,78.55,78.27,77.89,78.11,78.14,78.12,78.4,78.68,78.54
