Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,48.34,,,,,,,,,
2,48.26,,,,,,,,,
3,48.61,,,,,,,,,
4,49.14,,,,,,,,,
5,47.78,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
