Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.54,81.65,81.48,81.64,81.42,81.6,81.48,81.45,81.38,81.5
2,81.59,81.38,81.51,81.45,81.39,81.55,81.42,81.63,81.59,81.49
3,81.43,81.52,81.57,81.42,81.52,81.42,81.36,81.52,81.53,81.55
4,81.42,81.54,81.58,81.57,81.63,81.52,81.56,81.61,81.39,81.67
5,81.61,81.47,81.38,81.64,81.58,81.52,81.46,81.49,81.38,81.64
6,81.63,81.55,81.52,81.51,81.71,81.65,81.43,81.51,81.53,81.52
7,81.35,81.4,81.58,81.57,81.46,81.49,81.59,81.35,81.31,81.66
8,81.48,81.44,81.51,81.49,81.51,81.72,81.65,81.59,81.51,81.54
9,81.39,81.37,81.48,81.44,81.46,81.58,81.57,81.56,81.33,81.46
10,81.43,81.52,81.62,81.44,81.56,81.48,81.4,81.68,81.54,81.74
