Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.22,81.26,81.23,81.27,81.55,81.4,81.48,81.25,81.22,81.52
2,81.33,81.39,81.34,81.31,81.24,81.27,81.19,81.24,81.43,81.37
3,81.41,81.36,81.44,81.31,81.39,81.32,81.35,81.37,81.42,81.39
4,81.25,81.28,81.4,81.38,81.27,81.26,81.01,81.4,81.09,81.39
5,81.22,81.08,81.38,81.32,81.22,81.25,81.44,81.22,81.24,81.17
6,81.39,81.32,81.2,81.32,81.31,81.27,81.25,81.3,81.39,81.36
7,81.29,81.29,81.38,81.16,81.27,81.18,81.2,81.14,81.25,81.32
8,81.13,81.52,81.23,81.24,81.19,81.44,81.25,81.28,81.29,81.29
9,81.25,81.36,81.41,81.41,81.15,81.26,81.31,81.24,81.23,81.28
10,81.36,81.22,81.41,81.25,81.44,81.35,81.36,81.18,81.42,81.2
