Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,59.97,,,,,,,,,
2,59.77,,,,,,,,,
3,60.1,,,,,,,,,
4,59.79,,,,,,,,,
5,59.83,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
