Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,60.01,,,,,,,,,
2,59.89,,,,,,,,,
3,59.84,,,,,,,,,
4,59.81,,,,,,,,,
5,60.14,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
