Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.13,81.34,81.22,81.1,81.34,81.31,81.22,81.2,81.22,81.24
2,81.26,81.35,81.16,81.32,81.22,81.24,81.15,81.19,81.36,81.23
3,81.29,81.13,81.35,81.27,81.31,81.17,81.35,81.27,81.24,81.2
4,81.22,81.11,81.28,81.22,81.26,81.31,81.33,81.34,81.29,81.14
5,81.31,81.39,81.25,81.18,81.33,81.16,81.27,81.26,81.14,81.29
6,81.16,81.26,81.22,81.19,81.19,81.26,81.14,81.33,81.25,81.24
7,81.15,81.27,81.15,81.22,81.33,81.16,81.26,81.3,81.38,81.3
8,81.28,81.27,81.38,81.24,81.2,81.23,81.2,81.22,81.25,81.3
9,81.43,81.28,81.01,81.28,81.15,81.21,81.13,81.22,81.31,81.35
10,81.19,81.15,81.2,81.26,81.22,81.12,81.18,81.2,81.34,81.31
