Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.0,79.97,79.77,79.97,80.01,80.08,79.82,79.77,79.97,79.93
2,79.67,79.87,79.54,79.88,79.88,79.76,79.79,79.71,79.77,79.98
3,79.84,79.95,79.61,79.71,79.62,79.75,80.01,79.74,79.75,79.89
4,79.83,79.75,79.88,79.89,79.97,79.63,79.82,79.79,79.83,79.64
5,79.56,79.55,79.77,80.1,79.95,80.08,79.78,79.75,79.84,80.02
6,79.87,79.98,79.69,79.91,80.1,79.58,79.88,79.65,79.86,80.03
7,79.98,79.89,79.79,79.77,79.8,80.14,79.82,79.66,79.6,79.83
8,79.8,79.68,79.79,79.96,79.84,79.73,79.84,79.75,79.93,80.15
9,79.97,79.71,79.78,79.96,79.92,79.93,79.65,79.72,80.03,79.85
10,79.82,79.72,79.79,79.98,79.79,79.86,79.8,79.67,79.82,79.88
