Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.28,81.24,81.28,81.16,81.12,81.23,81.19,81.09,81.18,81.26
2,81.17,81.19,81.25,81.32,81.2,81.15,81.29,81.35,81.28,81.29
3,81.31,81.22,81.23,81.18,81.18,81.08,81.13,81.18,81.11,81.22
4,81.22,81.29,81.33,81.07,81.15,81.22,81.23,81.17,81.39,81.19
5,81.31,81.15,81.2,81.29,81.23,81.38,81.29,81.27,81.25,81.24
6,81.2,81.29,81.32,81.35,81.28,81.16,81.22,81.29,81.25,81.16
7,81.29,81.35,81.24,81.18,81.3,81.26,81.22,81.14,81.06,81.37
8,81.2,81.06,81.2,81.24,81.33,81.31,81.29,81.05,81.28,81.16
9,81.27,81.23,81.11,81.2,81.29,81.38,81.01,81.19,81.24,81.32
10,81.2,81.31,81.28,81.35,81.29,81.24,81.22,81.05,81.1,81.19
