Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.22,81.32,81.23,81.32,81.35,81.25,81.46,81.4,81.28,81.36
2,81.4,81.31,81.37,81.41,81.45,81.31,81.48,81.19,81.24,81.47
3,81.39,81.51,81.48,81.28,81.26,81.36,81.36,81.29,81.38,81.35
4,81.18,81.44,81.52,81.39,81.39,81.35,81.45,81.36,81.46,81.43
5,81.39,81.43,81.45,81.3,81.42,81.4,81.29,81.32,81.37,81.29
6,81.43,81.32,81.27,81.29,81.28,81.33,81.31,81.41,81.37,81.3
7,81.32,81.38,81.33,81.22,81.34,81.33,81.41,81.26,81.42,81.3
8,81.33,81.23,81.4,81.35,81.4,81.2,81.3,81.3,81.35,81.31
9,81.33,81.33,81.35,81.37,81.27,81.48,81.28,81.5,81.32,81.31
10,81.3,81.32,81.44,81.53,81.31,81.43,81.31,81.39,81.46,81.45
