Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.12,79.97,79.82,79.73,80.05,79.69,79.83,79.82,79.9,79.72
2,80.15,79.81,80.19,79.7,80.03,80.15,79.92,79.71,79.79,79.71
3,80.01,79.72,79.9,79.93,80.08,79.99,79.85,79.72,79.88,80.1
4,80.01,80.27,79.84,79.84,79.62,79.93,79.95,80.05,79.93,79.87
5,79.96,80.05,79.91,79.96,80.14,79.92,79.84,80.04,79.78,80.01
6,80.18,80.02,79.57,79.76,79.88,79.8,80.2,79.91,79.99,79.92
7,79.83,79.68,79.88,79.95,79.92,79.98,79.9,79.65,79.92,79.81
8,79.98,79.91,79.6,79.87,79.95,79.77,79.67,79.89,79.93,79.73
9,79.71,79.92,79.86,79.87,80.12,79.72,80.01,80.1,79.89,79.73
10,80.0,80.14,79.95,79.81,79.81,79.73,79.9,79.79,80.06,80.07
