Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,77.08,77.53,76.71,77.55,77.03,78.07,76.73,77.92,77.67,77.08
2,77.44,77.51,76.9,77.8,77.32,77.14,77.3,77.85,77.44,77.11
3,77.14,77.27,77.69,76.9,76.87,76.86,77.44,77.61,76.08,77.59
4,77.21,77.08,77.27,77.73,76.53,77.12,77.27,77.9,77.64,77.45
5,77.43,77.38,76.95,76.98,77.31,76.86,76.78,76.52,77.68,76.93
6,76.59,77.41,77.34,77.1,76.24,77.07,77.84,77.41,77.8,77.12
7,76.96,76.88,77.85,77.44,77.14,77.47,76.53,77.96,77.45,77.58
8,77.1,77.73,76.69,76.76,76.76,76.72,77.83,77.19,76.85,77.39
9,77.02,77.58,77.07,77.68,77.3,77.68,77.39,77.22,77.58,77.71
10,77.62,77.62,77.76,77.66,76.56,77.46,77.06,77.03,77.34,77.5
