Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.77,80.99,80.76,80.87,80.81,80.96,80.96,80.81,80.79,80.84
2,80.94,80.77,80.9,80.75,80.92,80.98,80.76,80.83,80.66,80.9
3,81.09,80.9,80.94,80.82,80.8,80.79,80.75,80.63,80.83,80.91
4,80.88,80.84,80.7,80.94,81.07,80.7,80.84,80.83,80.92,81.01
5,80.84,80.82,80.9,80.7,80.91,80.77,80.84,80.96,80.96,80.74
6,80.78,80.96,80.73,80.92,80.97,80.85,80.84,80.83,80.77,80.73
7,80.79,80.96,80.87,80.85,80.91,80.92,80.91,80.89,80.81,80.79
8,80.97,80.82,80.68,80.82,80.94,80.84,80.72,80.84,80.68,81.07
9,80.93,80.53,80.85,80.84,80.84,80.76,80.92,80.57,80.77,80.74
10,80.82,80.81,81.07,80.82,80.91,80.67,80.77,80.81,80.85,80.93
