Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.97,80.91,81.05,80.82,80.88,80.79,80.79,80.86,80.96,80.64
2,80.98,80.85,80.89,80.7,80.85,80.88,80.94,80.94,80.81,80.85
3,80.76,80.75,80.98,80.98,80.97,81.01,80.9,80.94,80.94,80.9
4,80.94,80.98,80.8,80.71,80.72,80.97,80.83,80.9,80.74,80.96
5,80.91,80.86,80.8,80.95,80.82,80.91,80.91,80.94,80.81,80.75
6,80.88,80.91,80.93,81.13,80.96,80.98,80.86,81.05,81.07,80.8
7,80.97,80.84,80.92,80.93,80.83,80.71,80.83,80.95,80.91,80.9
8,80.94,81.07,80.93,80.83,80.78,80.93,80.87,80.83,80.92,80.9
9,80.88,80.82,80.81,80.79,80.86,80.84,80.89,80.9,80.9,81.07
10,80.83,80.88,80.83,80.92,81.0,80.8,80.79,80.84,80.72,80.85
