Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.31,80.54,80.29,80.45,80.19,80.28,80.29,80.3,80.25,80.53
2,80.25,80.24,80.38,80.37,80.52,80.22,80.33,80.25,80.11,80.35
3,80.23,80.42,80.37,80.46,80.09,80.17,80.37,80.6,80.27,80.41
4,80.4,80.47,80.46,80.3,80.48,80.41,80.45,80.27,80.38,80.37
5,80.34,80.46,80.31,80.47,80.36,80.46,80.27,80.44,80.42,80.47
6,80.23,80.42,80.5,80.34,80.25,80.34,80.23,80.25,80.3,80.33
7,80.49,80.3,80.21,80.3,80.38,80.43,80.29,80.45,80.25,80.4
8,80.49,80.5,80.49,80.36,80.23,80.36,80.36,80.42,80.29,80.44
9,80.4,80.26,80.49,80.34,80.16,80.26,80.42,80.16,80.48,80.37
10,80.49,80.38,80.43,80.41,80.38,80.4,80.19,80.34,80.16,80.38
