Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,79.04,78.82,78.93,78.97,78.85,79.05,78.7,78.93,79.31,78.82
2,79.43,79.13,78.79,78.87,79.05,79.04,79.39,78.93,79.0,78.76
3,79.0,78.8,78.68,79.19,79.1,79.12,79.13,78.98,79.31,79.15
4,79.2,79.04,79.06,79.14,78.98,79.12,78.76,79.11,79.06,79.13
5,79.15,78.86,79.03,79.36,79.22,79.22,79.24,78.74,79.13,79.08
6,79.0,78.71,78.65,79.05,79.15,79.08,79.0,78.93,79.02,78.97
7,79.21,78.78,78.91,78.96,79.15,79.27,79.26,79.48,79.17,79.05
8,79.03,78.92,79.03,79.09,79.4,79.2,79.05,78.9,79.09,79.15
9,79.09,78.91,79.09,79.05,79.2,79.06,79.04,79.29,79.22,78.94
10,79.0,79.01,78.75,79.06,79.07,78.97,78.93,78.82,79.06,79.18
