Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.63,81.59,81.61,81.73,81.71,81.74,81.65,81.83,81.65,81.64
2,81.79,81.76,81.67,81.62,81.7,81.65,81.71,81.56,81.79,81.7
3,81.79,81.7,81.75,81.78,81.67,81.76,81.65,81.63,81.81,81.65
4,81.58,81.72,81.77,81.66,81.61,81.52,81.63,81.59,81.64,81.58
5,81.76,81.67,81.71,81.69,81.65,81.59,81.77,81.59,81.72,81.73
6,81.7,81.64,81.74,81.76,81.83,81.72,81.7,81.6,81.71,81.65
7,81.73,81.71,81.64,81.71,81.64,81.8,81.64,81.76,81.72,81.65
8,81.65,81.69,81.63,81.68,81.69,81.72,81.65,81.68,81.67,81.77
9,81.56,81.55,81.69,81.63,81.7,81.81,81.7,81.75,81.71,81.65
10,81.67,81.74,81.64,81.68,81.68,81.59,81.57,81.78,81.67,81.75
