Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.08,80.07,80.21,79.97,79.93,80.04,80.06,80.19,80.06,80.01
2,80.1,80.31,80.07,80.04,80.31,80.1,79.9,79.95,80.06,80.32
3,80.28,80.13,79.99,80.14,80.08,80.16,80.05,80.21,80.32,80.31
4,79.89,79.93,79.98,80.18,80.13,80.23,80.12,80.38,80.1,79.88
5,79.97,79.83,80.0,80.29,79.95,79.87,79.92,80.27,80.32,79.91
6,80.07,80.2,80.29,80.05,80.29,80.33,79.81,80.08,79.91,80.12
7,80.34,80.13,80.19,80.29,80.12,80.33,80.11,79.91,80.3,80.36
8,80.12,80.14,80.0,79.83,80.3,80.19,80.39,80.28,80.07,80.27
9,80.03,79.97,80.14,80.16,80.25,80.17,80.26,80.28,80.15,80.21
10,80.0,80.12,79.95,79.89,80.1,80.05,80.22,80.4,79.98,80.03
