Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,79.23,78.92,79.0,79.05,78.8,79.26,78.99,78.5,79.18,79.04
2,79.06,79.06,79.02,78.9,78.81,79.21,78.93,78.97,79.0,78.9
3,79.09,79.17,79.06,79.16,79.14,78.83,79.25,79.3,78.7,78.96
4,78.97,78.83,79.02,79.15,78.81,79.2,79.33,79.3,78.98,78.91
5,79.02,79.17,79.21,79.03,78.72,78.98,79.08,78.96,79.11,79.19
6,78.83,79.01,79.06,79.48,79.08,78.63,78.67,78.88,79.05,79.24
7,79.11,79.09,78.84,79.21,79.21,79.08,78.98,79.09,79.07,79.17
8,79.09,78.89,79.17,78.98,78.91,79.06,79.11,79.15,79.03,79.22
9,79.09,78.87,79.02,79.06,79.01,79.2,78.7,79.2,78.91,79.04
10,78.55,78.93,78.98,79.3,79.26,78.91,79.34,78.93,79.07,79.17
