Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.6,81.54,81.58,81.73,81.72,81.6,81.64,81.67,81.67,81.6
2,81.57,81.62,81.56,81.67,81.68,81.72,81.61,81.55,81.56,81.66
3,81.6,81.61,81.6,81.64,81.74,81.57,81.65,81.59,81.59,81.61
4,81.61,81.7,81.75,81.72,81.6,81.73,81.55,81.64,81.61,81.66
5,81.61,81.77,81.67,81.63,81.49,81.63,81.59,81.61,81.61,81.6
6,81.72,81.51,81.58,81.65,81.65,81.63,81.67,81.54,81.57,81.56
7,81.6,81.62,81.62,81.55,81.74,81.58,81.61,81.69,81.61,81.74
8,81.49,81.61,81.59,81.52,81.6,81.64,81.55,81.67,81.67,81.57
9,81.64,81.54,81.53,81.68,81.59,81.59,81.55,81.59,81.63,81.66
10,81.66,81.61,81.64,81.65,81.79,81.67,81.56,81.57,81.55,81.59
