Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.73,81.7,81.85,81.89,81.74,81.91,81.86,81.8,81.8,81.87
2,81.9,81.79,81.86,81.86,81.85,81.73,81.8,81.85,81.83,81.81
3,81.87,81.81,81.82,81.79,81.82,81.72,81.83,81.79,81.86,81.72
4,81.87,81.88,81.87,81.91,81.76,81.87,81.74,81.76,81.9,81.84
5,81.84,81.81,81.7,81.79,81.83,81.76,81.89,81.88,81.67,81.85
6,81.79,81.91,81.8,81.85,81.69,81.89,81.96,81.91,81.85,81.77
7,81.78,81.93,81.77,81.82,81.85,81.77,81.78,81.74,81.78,81.76
8,81.75,81.79,81.92,81.83,81.88,81.96,81.74,81.97,81.69,81.67
9,81.71,81.72,81.74,82.03,81.8,81.8,81.8,81.85,81.75,81.85
10,81.76,81.72,81.9,81.9,81.86,81.73,81.69,81.91,81.84,81.87
