Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,69.71,69.9,69.64,69.63,69.68,,,,,
2,69.7,69.82,69.76,69.73,69.68,,,,,
3,69.76,69.65,69.82,69.75,69.59,,,,,
4,69.77,69.7,69.67,69.77,69.77,,,,,
5,69.82,69.72,69.61,69.79,69.73,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
