Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,76.13,76.13,76.11,76.08,76.08,76.08,76.16,76.09,76.08,76.08
2,76.08,76.08,76.08,76.08,76.12,76.11,76.08,76.08,76.09,76.08
3,76.12,76.09,76.11,76.1,76.08,76.13,76.09,76.08,76.09,76.14
4,76.08,76.17,76.13,76.08,76.1,76.08,76.09,76.08,76.09,76.16
5,76.15,76.11,76.08,76.08,76.08,76.11,76.08,76.08,76.08,76.08
6,76.08,76.08,76.08,76.13,76.08,76.09,76.15,76.09,76.08,76.08
7,76.08,76.08,76.16,76.09,76.11,76.08,76.1,76.11,76.08,76.08
8,76.08,76.08,76.17,76.08,76.15,76.08,76.1,76.08,76.08,76.17
9,76.17,76.11,76.11,76.08,76.08,76.14,76.08,76.09,76.12,76.13
10,76.09,76.08,76.15,76.12,76.08,76.08,76.08,76.11,76.08,76.13
