Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.52,81.52,81.52,81.7,81.63,81.52,81.67,81.51,81.63,81.59
2,81.63,81.52,81.58,81.55,81.53,81.55,81.53,81.43,81.52,81.59
3,81.55,81.54,81.51,81.45,81.57,81.53,81.43,81.55,81.5,81.49
4,81.56,81.46,81.55,81.65,81.63,81.52,81.53,81.55,81.54,81.42
5,81.52,81.59,81.64,81.57,81.52,81.66,81.55,81.52,81.61,81.59
6,81.5,81.5,81.4,81.48,81.49,81.52,81.52,81.66,81.62,81.58
7,81.61,81.63,81.54,81.48,81.57,81.56,81.5,81.65,81.46,81.54
8,81.59,81.59,81.66,81.64,81.55,81.56,81.63,81.4,81.48,81.58
9,81.6,81.49,81.57,81.64,81.51,81.5,81.52,81.62,81.67,81.52
10,81.62,81.53,81.38,81.41,81.45,81.53,81.51,81.48,81.57,81.5
