Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.77,80.47,80.73,80.89,80.73,80.89,80.88,80.75,80.81,80.77
2,80.57,80.74,80.76,80.9,80.71,80.76,81.06,80.85,80.66,80.86
3,80.97,80.56,80.77,80.82,80.91,80.77,80.89,80.81,80.9,80.86
4,80.73,81.12,80.84,80.75,80.78,81.0,80.81,80.81,80.82,80.69
5,80.91,80.57,80.94,80.86,80.75,80.57,80.85,80.75,81.19,80.78
6,80.59,80.62,80.73,80.77,80.83,80.77,80.82,80.98,80.96,80.63
7,80.69,80.9,80.85,80.53,80.9,80.75,80.94,80.85,80.78,80.55
8,80.74,80.79,80.96,80.79,80.66,80.66,80.82,80.93,80.69,80.68
9,80.45,80.81,80.97,80.6,80.85,80.68,80.9,80.78,80.78,80.9
10,80.84,80.7,80.98,80.96,80.92,80.73,80.65,80.83,80.61,80.61
