Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.51,81.55,81.52,81.64,81.59,81.61,81.59,81.53,81.63,81.55
2,81.5,81.56,81.54,81.54,81.68,81.54,81.55,81.66,81.66,81.49
3,81.7,81.62,81.56,81.57,81.59,81.52,81.53,81.61,81.61,81.55
4,81.6,81.57,81.64,81.58,81.5,81.59,81.52,81.63,81.61,81.6
5,81.59,81.65,81.66,81.63,81.56,81.59,81.47,81.57,81.66,81.55
6,81.56,81.58,81.58,81.58,81.59,81.66,81.59,81.48,81.61,81.62
7,81.52,81.64,81.43,81.62,81.54,81.63,81.62,81.61,81.58,81.58
8,81.53,81.56,81.53,81.67,81.66,81.5,81.57,81.62,81.56,81.49
9,81.56,81.58,81.55,81.48,81.6,81.55,81.55,81.75,81.58,81.64
10,81.71,81.67,81.51,81.53,81.56,81.67,81.49,81.59,81.67,81.61
