Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.7,81.56,81.54,81.42,81.5,81.52,81.51,81.65,81.58,81.59
2,81.56,81.52,81.46,81.62,81.61,81.67,81.61,81.59,81.54,81.46
3,81.56,81.57,81.5,81.6,81.68,81.5,81.55,81.61,81.64,81.54
4,81.55,81.61,81.6,81.55,81.53,81.52,81.67,81.66,81.59,81.47
5,81.41,81.58,81.41,81.51,81.48,81.48,81.58,81.54,81.51,81.59
6,81.57,81.56,81.45,81.55,81.5,81.5,81.56,81.57,81.48,81.48
7,81.62,81.52,81.46,81.58,81.45,81.67,81.55,81.62,81.5,81.7
8,81.55,81.51,81.4,81.55,81.35,81.62,81.56,81.55,81.62,81.49
9,81.59,81.59,81.5,81.44,81.54,81.59,81.47,81.49,81.45,81.44
10,81.57,81.5,81.49,81.59,81.53,81.54,81.46,81.55,81.52,81.61
