Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.63,81.57,81.7,81.61,81.61,81.7,81.78,81.67,81.49,81.71
2,81.69,81.66,81.59,81.6,81.73,81.62,81.55,81.64,81.58,81.69
3,81.69,81.7,81.66,81.59,81.7,81.63,81.67,81.62,81.63,81.62
4,81.55,81.79,81.61,81.64,81.65,81.72,81.68,81.72,81.72,81.73
5,81.59,81.61,81.65,81.6,81.61,81.51,81.63,81.63,81.68,81.55
6,81.63,81.58,81.6,81.74,81.64,81.7,81.76,81.54,81.59,81.6
7,81.7,81.64,81.63,81.58,81.61,81.61,81.74,81.71,81.63,81.61
8,81.66,81.73,81.67,81.7,81.61,81.69,81.65,81.66,81.63,81.59
9,81.68,81.66,81.58,81.76,81.6,81.63,81.69,81.59,81.67,81.64
10,81.6,81.7,81.69,81.55,81.7,81.84,81.67,81.65,81.65,81.63
