Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,79.82,79.71,79.6,79.88,79.85,79.79,79.78,79.82,79.96,79.92
2,79.64,79.93,79.75,80.04,79.71,79.57,79.85,79.81,79.99,79.98
3,79.51,79.62,79.99,79.89,79.69,79.76,79.79,80.06,80.01,79.69
4,79.74,80.17,79.92,79.88,79.65,79.63,79.98,79.3,79.84,79.74
5,79.73,79.79,79.91,79.64,79.71,80.02,80.03,79.85,80.08,79.79
6,79.97,79.69,79.84,79.84,79.81,79.67,79.85,79.47,79.94,79.97
7,79.78,79.75,79.97,80.12,79.63,79.76,79.98,79.72,79.62,80.13
8,80.23,79.99,80.02,79.82,79.48,79.86,79.89,80.05,79.94,79.99
9,79.91,79.54,79.88,79.77,79.91,80.01,79.83,79.76,79.98,79.64
10,79.64,79.75,80.17,79.6,79.64,79.8,79.69,79.99,79.88,79.84
