Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.77,81.82,81.8,81.75,81.85,81.76,81.68,81.64,81.76,81.7
2,81.8,81.85,81.66,81.72,81.7,81.67,81.67,81.75,81.83,81.7
3,81.68,81.76,81.73,81.52,81.65,81.69,81.73,81.66,81.75,81.65
4,81.72,81.73,81.74,81.7,81.7,81.67,81.75,81.77,81.73,81.74
5,81.7,81.72,81.66,81.69,81.83,81.65,81.73,81.59,81.67,81.65
6,81.77,81.73,81.75,81.67,81.71,81.63,81.75,81.74,81.65,81.66
7,81.72,81.68,81.68,81.8,81.76,81.76,81.73,81.66,81.82,81.82
8,81.74,81.78,81.72,81.74,81.8,81.81,81.7,81.77,81.66,81.79
9,81.69,81.7,81.61,81.73,81.62,81.62,81.77,81.71,81.75,81.76
10,81.7,81.73,81.77,81.78,81.59,81.69,81.69,81.69,81.8,81.59
