Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.61,81.55,81.78,81.66,81.76,81.61,81.64,81.69,81.74,81.75
2,81.56,81.71,81.52,81.5,81.68,81.58,81.65,81.52,81.71,81.63
3,81.69,81.58,81.66,81.64,81.63,81.76,81.69,81.66,81.62,81.78
4,81.75,81.72,81.71,81.58,81.63,81.57,81.62,81.67,81.66,81.61
5,81.66,81.78,81.61,81.49,81.6,81.78,81.66,81.7,81.63,81.65
6,81.85,81.46,81.56,81.57,81.62,81.58,81.59,81.57,81.6,81.62
7,81.63,81.68,81.63,81.51,81.62,81.52,81.7,81.74,81.68,81.7
8,81.6,81.69,81.7,81.56,81.62,81.63,81.48,81.66,81.46,81.74
9,81.67,81.59,81.59,81.71,81.7,81.71,81.74,81.61,81.55,81.72
10,81.72,81.68,81.74,81.64,81.64,81.74,81.78,81.7,81.6,81.62
