Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,79.15,78.59,79.06,78.8,79.45,78.52,79.01,79.05,78.8,78.95
2,79.03,78.63,78.68,78.91,79.11,79.28,78.72,78.84,78.83,79.0
3,79.2,79.12,79.38,78.99,79.1,78.76,79.0,79.13,78.93,78.99
4,78.46,79.13,78.52,78.81,79.0,78.48,78.79,78.81,79.04,78.85
5,78.88,78.64,78.76,78.36,79.11,79.0,79.19,79.14,79.05,79.13
6,78.59,78.81,79.06,78.97,79.04,78.89,79.1,79.15,79.0,79.27
7,79.26,78.74,78.74,78.67,79.15,79.04,79.18,78.72,79.09,79.05
8,79.1,78.88,79.35,78.72,79.22,78.59,79.0,79.02,78.86,78.68
9,78.57,78.99,78.75,78.78,79.29,78.98,78.85,78.77,78.92,79.17
10,78.88,78.99,78.89,79.0,79.23,78.83,79.0,78.94,78.81,78.84
