Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,79.38,78.7,79.16,78.93,79.49,79.26,79.36,79.27,79.24,79.12
2,79.21,79.25,78.81,79.18,79.1,79.22,79.22,78.95,78.85,79.15
3,79.13,78.99,79.25,79.31,79.13,79.21,79.54,79.19,79.0,79.19
4,79.26,79.1,79.14,78.93,79.02,79.14,79.21,79.1,79.3,79.42
5,79.2,79.08,79.32,78.92,79.37,79.1,79.0,78.91,79.41,79.06
6,79.07,78.77,79.0,79.15,79.11,78.93,79.31,79.32,79.19,78.91
7,79.07,79.13,78.94,79.19,78.93,79.25,79.11,79.24,78.91,79.34
8,79.31,79.01,78.74,79.45,79.19,79.16,79.14,79.28,79.12,79.15
9,78.93,79.12,78.85,78.81,79.29,78.74,78.8,79.22,78.93,79.36
10,78.71,78.69,79.23,79.16,78.91,79.23,79.0,79.0,79.02,79.09
