Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.46,80.47,80.62,80.55,80.61,80.33,80.37,80.42,80.57,80.57
2,80.64,80.32,80.4,80.62,80.61,80.32,80.43,80.7,80.83,80.4
3,80.23,80.55,80.43,80.5,80.4,80.36,80.83,80.51,80.15,80.59
4,80.56,80.32,80.47,80.66,80.42,80.42,80.5,80.18,80.28,80.49
5,80.51,80.38,80.35,80.56,80.42,80.7,80.66,80.5,80.61,80.39
6,80.54,80.34,80.42,80.34,80.72,80.47,80.68,80.51,80.45,80.88
7,80.37,80.68,80.62,80.4,80.3,80.59,80.68,80.65,80.27,80.51
8,80.4,80.44,80.45,80.15,80.78,80.54,80.58,80.37,80.51,80.29
9,80.66,80.3,80.55,80.55,80.33,80.63,80.2,80.27,80.25,80.56
10,80.58,80.24,80.63,80.42,80.42,80.53,80.57,80.38,80.64,80.56
