Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,79.69,79.94,79.73,79.65,79.77,80.01,79.92,79.66,79.57,79.68
2,79.79,79.53,79.73,79.71,79.8,79.69,79.62,79.75,80.02,79.88
3,79.67,79.66,79.68,79.71,79.85,79.87,79.86,79.84,79.6,79.79
4,79.72,79.88,79.68,79.63,79.73,79.79,79.78,79.73,79.78,79.79
5,79.66,79.71,79.85,79.87,79.72,79.8,79.46,79.57,79.8,79.74
6,79.53,79.63,79.54,79.6,79.37,79.72,79.73,79.78,79.74,79.63
7,79.6,79.68,80.11,79.76,79.69,79.78,79.89,79.45,79.37,79.95
8,79.51,79.71,79.63,79.64,79.8,79.87,79.85,79.65,80.08,79.65
9,79.8,79.65,79.64,79.79,79.74,79.81,79.35,79.79,79.92,79.8
10,79.69,79.84,79.84,79.61,80.0,79.72,79.68,79.95,79.58,79.72
