Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.15,81.12,81.19,81.21,81.2,81.12,81.06,81.28,81.26,81.34
2,81.19,81.15,81.2,81.2,81.21,81.37,81.35,81.25,81.18,81.33
3,81.3,81.16,81.19,81.29,81.28,81.19,81.16,81.22,81.29,81.32
4,81.14,81.22,81.22,81.35,81.28,81.27,81.24,81.04,81.23,81.34
5,81.19,81.16,81.19,81.09,81.29,81.34,81.35,81.2,81.23,81.06
6,81.15,81.12,81.2,81.31,81.29,81.15,81.2,81.23,81.16,81.01
7,81.15,81.28,81.18,81.15,81.37,81.24,81.19,81.03,81.32,81.26
8,81.31,81.24,81.18,81.18,81.22,81.17,81.19,81.18,81.21,81.33
9,80.91,81.39,81.35,81.22,81.21,81.16,81.09,81.14,81.23,81.18
10,81.14,81.14,81.09,81.18,81.22,81.29,81.25,81.4,81.14,81.46
