Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.55,81.63,81.6,81.7,81.71,81.81,81.59,81.7,81.64,81.75
2,81.66,81.74,81.77,81.8,81.71,81.63,81.71,81.64,81.65,81.59
3,81.76,81.65,81.7,81.69,81.59,81.66,81.69,81.65,81.73,81.7
4,81.58,81.75,81.68,81.7,81.52,81.68,81.5,81.68,81.61,81.78
5,81.6,81.68,81.67,81.85,81.67,81.64,81.64,81.66,81.61,81.5
6,81.59,81.74,81.73,81.64,81.76,81.69,81.73,81.69,81.6,81.73
7,81.61,81.74,81.59,81.63,81.71,81.71,81.72,81.65,81.72,81.56
8,81.75,81.74,81.64,81.63,81.8,81.67,81.7,81.57,81.64,81.7
9,81.65,81.71,81.8,81.55,81.6,81.76,81.64,81.66,81.6,81.87
10,81.66,81.69,81.69,81.73,81.66,81.73,81.77,81.67,81.57,81.67
