Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.52,81.66,81.47,81.69,81.65,81.44,81.62,81.5,81.59,81.59
2,81.56,81.69,81.65,81.44,81.52,81.6,81.55,81.65,81.49,81.63
3,81.47,81.58,81.49,81.64,81.56,81.52,81.56,81.45,81.54,81.64
4,81.48,81.52,81.51,81.49,81.52,81.64,81.59,81.57,81.53,81.61
5,81.5,81.67,81.58,81.71,81.7,81.52,81.65,81.6,81.6,81.65
6,81.79,81.52,81.58,81.46,81.69,81.57,81.39,81.62,81.59,81.57
7,81.56,81.66,81.61,81.5,81.63,81.5,81.44,81.52,81.49,81.63
8,81.48,81.5,81.59,81.44,81.39,81.71,81.51,81.54,81.57,81.66
9,81.53,81.45,81.59,81.7,81.39,81.59,81.48,81.7,81.66,81.64
10,81.65,81.47,81.72,81.59,81.61,81.63,81.67,81.55,81.57,81.6
