Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.14,80.99,81.32,81.02,81.1,81.05,81.03,81.16,81.22,80.95
2,81.16,80.93,81.01,80.96,81.12,81.26,81.12,80.99,81.14,80.97
3,81.0,80.98,81.15,81.04,81.07,80.94,81.14,81.04,81.16,81.04
4,81.11,81.0,81.06,81.17,81.1,81.07,80.83,80.97,81.1,81.12
5,81.02,81.01,80.99,81.19,81.11,81.1,81.03,81.29,81.04,80.9
6,81.0,80.99,80.98,81.03,81.11,81.18,81.05,80.99,81.11,81.07
7,80.93,81.01,80.94,81.16,81.22,81.11,81.2,81.05,81.22,81.07
8,81.09,81.15,81.0,80.92,80.81,80.98,80.93,80.85,81.22,81.07
9,81.22,81.0,81.08,81.26,80.98,81.26,81.01,81.04,80.98,81.14
10,81.07,81.14,80.96,81.04,81.16,81.04,81.15,81.14,80.85,81.16
