Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.53,81.46,81.41,81.66,81.44,81.44,81.35,81.44,81.4,81.47
2,81.47,81.44,81.45,81.56,81.29,81.58,81.35,81.35,81.51,81.48
3,81.54,81.43,81.45,81.55,81.42,81.42,81.42,81.37,81.44,81.42
4,81.41,81.3,81.59,81.43,81.44,81.6,81.43,81.46,81.29,81.52
5,81.42,81.62,81.24,81.41,81.37,81.42,81.31,81.58,81.44,81.46
6,81.37,81.45,81.55,81.43,81.48,81.39,81.41,81.46,81.52,81.45
7,81.43,81.33,81.36,81.51,81.59,81.51,81.37,81.51,81.44,81.49
8,81.55,81.37,81.33,81.53,81.36,81.35,81.59,81.45,81.56,81.45
9,81.37,81.55,81.56,81.51,81.52,81.41,81.32,81.42,81.42,81.39
10,81.5,81.5,81.48,81.43,81.46,81.3,81.37,81.52,81.42,81.57
