Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.42,81.14,81.33,81.29,81.3,81.26,81.13,81.23,81.31,81.33
2,81.33,81.32,81.39,81.16,81.5,81.31,81.29,81.38,81.33,81.39
3,81.22,81.17,81.34,81.3,81.23,81.45,81.46,81.32,81.29,81.43
4,81.35,81.19,81.37,81.45,81.33,81.34,81.31,81.52,81.2,81.33
5,81.39,81.44,81.25,81.31,81.41,81.4,81.42,81.22,81.17,81.34
6,81.42,81.33,81.34,81.28,81.16,81.4,81.35,81.33,81.26,81.29
7,81.17,81.26,81.19,81.31,81.05,81.39,81.26,81.24,81.29,81.26
8,81.24,81.26,81.32,81.33,81.21,81.22,81.25,81.3,81.36,81.22
9,81.31,81.2,81.46,81.29,81.4,81.25,81.32,81.23,81.28,81.38
10,81.29,81.42,81.31,81.17,81.31,81.27,81.32,81.36,81.22,81.25
