Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,68.57,68.83,68.65,68.65,68.59,,,,,
2,68.48,68.57,68.55,68.68,68.57,,,,,
3,68.69,68.51,68.57,68.75,68.62,,,,,
4,68.59,68.67,68.6,68.54,68.59,,,,,
5,68.47,68.7,68.46,68.53,68.66,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
