Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,74.77,,,,,,,,,
2,74.69,,,,,,,,,
3,74.67,,,,,,,,,
4,74.8,,,,,,,,,
5,74.32,,,,,,,,,
6,74.36,,,,,,,,,
7,74.84,,,,,,,,,
8,74.4,,,,,,,,,
9,74.47,,,,,,,,,
10,74.81,,,,,,,,,
