Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.29,81.25,81.2,81.24,81.2,81.33,81.26,81.31,81.5,81.31
2,81.2,81.36,81.26,81.42,81.19,81.42,81.33,81.18,81.2,81.19
3,81.3,81.2,81.4,81.24,81.46,81.25,81.47,81.02,81.18,81.39
4,81.35,81.37,81.12,81.17,81.37,81.42,81.16,81.26,81.36,81.42
5,81.42,81.33,81.35,81.3,81.11,81.24,81.33,81.23,81.29,81.32
6,81.4,81.31,81.16,81.31,81.46,81.25,81.09,81.48,81.14,81.29
7,81.38,81.43,81.2,81.31,81.28,81.28,81.23,81.28,81.3,81.32
8,81.09,81.17,81.31,81.31,81.37,81.29,81.23,81.38,81.21,81.37
9,81.15,81.39,81.2,81.2,81.33,81.27,81.34,81.37,81.35,81.22
10,81.19,81.36,81.09,81.17,81.44,81.5,81.22,81.38,81.47,81.42
