Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.59,80.61,80.4,80.69,80.72,80.54,80.85,80.65,80.68,80.53
2,80.62,80.69,80.54,80.77,80.63,81.0,80.64,80.66,80.74,80.79
3,80.53,80.8,80.67,80.76,80.58,80.71,80.57,80.63,80.77,80.58
4,80.77,80.72,80.59,80.64,80.76,80.59,80.53,80.66,80.75,80.81
5,80.65,80.74,80.99,80.71,80.9,80.69,80.64,80.76,80.53,80.9
6,80.61,80.74,80.81,80.64,80.72,80.8,80.64,80.59,80.72,80.79
7,80.68,80.68,80.6,80.57,80.74,80.69,80.81,80.62,80.71,80.9
8,80.56,80.68,80.86,80.91,80.8,80.53,80.75,80.81,80.72,80.82
9,80.72,80.6,80.66,80.54,80.69,80.57,80.69,80.59,80.75,80.86
10,80.67,80.38,80.66,80.73,80.66,80.74,80.76,80.53,80.46,80.53
