Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.55,81.46,81.5,81.52,81.48,81.42,81.35,81.54,81.38,81.39
2,81.49,81.42,81.34,81.44,81.61,81.39,81.43,81.38,81.48,81.46
3,81.53,81.57,81.6,81.48,81.56,81.48,81.39,81.53,81.56,81.56
4,81.51,81.43,81.26,81.47,81.47,81.37,81.4,81.34,81.41,81.37
5,81.53,81.37,81.52,81.5,81.52,81.46,81.59,81.33,81.31,81.56
6,81.49,81.38,81.54,81.33,81.57,81.51,81.52,81.46,81.57,81.35
7,81.42,81.61,81.55,81.31,81.46,81.39,81.53,81.42,81.41,81.41
8,81.31,81.5,81.61,81.41,81.5,81.52,81.6,81.49,81.6,81.37
9,81.33,81.4,81.39,81.37,81.54,81.46,81.42,81.59,81.44,81.52
10,81.52,81.47,81.54,81.52,81.61,81.44,81.5,81.45,81.49,81.34
