Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.69,80.53,80.58,80.7,80.64,80.31,80.57,80.66,80.49,80.44
2,80.67,80.53,80.64,80.4,80.55,80.69,80.61,80.49,80.65,80.62
3,80.61,80.37,80.27,80.51,80.39,80.56,80.14,80.18,80.88,80.59
4,80.55,80.6,80.74,80.72,80.44,80.73,80.53,80.77,80.48,80.75
5,80.2,80.51,80.62,80.67,80.55,80.33,80.39,80.41,80.69,80.47
6,80.44,80.31,80.3,80.44,80.27,80.44,80.39,80.61,80.57,80.77
7,80.5,80.05,80.41,80.6,80.61,80.58,80.64,80.52,80.62,80.62
8,80.6,80.36,80.42,80.53,80.44,80.59,80.52,80.3,80.61,80.88
9,80.64,80.5,80.29,80.61,80.51,80.57,80.32,80.24,80.33,80.77
10,80.7,80.36,80.42,80.62,80.79,80.54,80.47,80.64,80.42,80.29
