Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.89,80.62,80.4,80.58,80.6,80.27,80.42,80.29,80.38,80.43
2,80.61,80.44,80.41,80.79,80.68,80.91,80.69,80.97,80.19,80.57
3,80.86,80.83,80.99,80.8,80.64,80.76,80.5,80.56,80.71,80.66
4,80.76,80.53,80.58,80.98,80.73,81.07,80.68,80.75,80.85,80.66
5,80.98,80.41,81.06,80.41,80.78,80.49,80.58,80.63,80.09,80.59
6,80.96,80.51,80.68,80.44,80.35,80.43,80.59,80.85,80.92,80.62
7,80.31,80.64,80.78,80.23,80.71,80.51,80.61,80.95,80.59,80.87
8,80.6,80.94,80.79,80.82,80.6,80.79,80.53,80.5,80.83,80.99
9,80.66,80.39,80.89,80.85,80.93,80.35,81.03,80.56,80.65,80.95
10,80.75,80.52,80.26,80.59,80.96,80.61,80.45,80.62,80.91,80.44
